"num","region","born_2013","born_2012","born_2012_2013","dead_2013","dead_2012","dead_2013_2012","increase_2013","increase_2012","marriages_2013","marriages_2012","marriages_201_2012","divorce _2013","divorce _2012","divorce _2013_2012","divorce_marriage_2013","divorce_marriage_2013"
1,"Российская Федерация","12,7","12,7","100","13,5","13,5","100","-0,8","-0,8","6,8","6,6","103","4,4","4,3","102,3","656,2","647,5"
2,"Центральный федеральный округ","10,9","11","99,1","14,1","14,1","100","-3,2","-3,1","6,4","6,2","103,2","4,3","4","107,5","675,3","655,4"
3,"Белгородская область","10,9","11","99,1","14,4","14,3","100,7","-3,5","-3,3","6,8","6","113,3","4,8","4,3","111,6","708,7","712,1"
4,"Брянская область","10,6","11,1","95,5","16,6","16,5","100,6","-6","-5,4","6,1","5,6","108,9","4,4","3,9","112,8","719,9","689,4"
5,"Владимирская область","10,7","11,3","94,7","16,9","16,9","100","-6,2","-5,6","6","5,9","101,7","4,6","4,3","107","771,5","736,1"
6,"Воронежская область","10,2","10,4","98,1","16,3","16","101,9","-6,1","-5,6","6,2","5,6","110,7","4,8","4,4","109,1","776,5","794,8"
7,"Ивановская область","10,7","10,8","99,1","16,9","17,1","98,8","-6,2","-6,3","6","5,8","103,4","4,3","4","107,5","723,5","687"
8,"Калужская область","11,3","11,4","99,1","15,6","15,9","98,1","-4,3","-4,5","6,3","6","105","4,3","4,7","91,5","687,9","789,5"
9,"Костромская область","12,4","12,4","100","16,7","16,5","101,2","-4,3","-4,1","6,8","6,8","100","4,6","4,4","104,5","683,5","645,5"
10,"Курская область","11,4","11,6","98,3","16,7","16,9","98,8","-5,3","-5,3","6,8","6,3","107,9","4,1","4,6","89,1","608,1","738,7"
11,"Липецкая область","10,9","10,9","100","15,7","15,7","100","-4,8","-4,8","6,4","6,2","103,2","4,6","4,2","109,5","726,2","669,3"
12,"Московская область1)","11,5","11,4","100,9","14,2","14,2","100","-2,7","-2,8","6,8","6,5","104,6","4,8","4,4","109,1","704,7","678,3"
13,"Орловская область","10,6","10,8","98,1","16,8","16,8","100","-6,2","-6","6,3","5,6","112,5","4,3","4,6","93,5","676,1","821,9"
14,"Рязанская область","10,5","10,3","101,9","16,3","16,8","97","-5,8","-6,5","6,2","5,8","106,9","4,7","3,4","138,2","754,9","580,1"
15,"Смоленская область","10,2","10,1","101","17,1","16,9","101,2","-6,9","-6,8","6,3","6","105","5","4,6","108,7","799,1","774,9"
